reservation_status,reservation_status_date,Booking_id
Check-Out,2015-07-01,750524ce
Check-Out,2015-07-01,3e98966d
Check-Out,2015-07-02,d6a32ed5
Check-Out,2015-07-02,4748932e
Check-Out,2015-07-03,787c5ac4
Check-Out,2015-07-03,d995125f
Check-Out,2015-07-03,e0ab8ce5
Check-Out,2015-07-03,b0934ccb
Canceled,2015-05-06,ab8540e2
Canceled,2015-04-22,b69684a2
Canceled,2015-06-23,fba1f831
Check-Out,2015-07-05,31fae356
Check-Out,2015-07-05,d9dc03fd
Check-Out,2015-07-05,2b7cab0f
Check-Out,2015-07-05,df179cef
Check-Out,2015-07-05,a8742985
Check-Out,2015-07-05,1a34f3c5
Check-Out,2015-07-02,77aa4620
Check-Out,2015-07-02,1a41dc4f
Check-Out,2015-07-05,a883b5ff
Check-Out,2015-07-06,44fb20e5
Check-Out,2015-07-07,57078b83
Check-Out,2015-07-07,443cb954
Check-Out,2015-07-07,57c64723
Check-Out,2015-07-01,311ac755
Check-Out,2015-07-08,3d0f2e75
Check-Out,2015-07-08,cd9a951f
Canceled,2015-05-11,e5c69bd6
Check-Out,2015-07-08,8c6e8077
Check-Out,2015-07-08,53ab4c33
Check-Out,2015-07-15,2a99e316
Check-Out,2015-07-16,94e08817
Canceled,2015-05-29,513362c6
Check-Out,2015-07-08,941d658e
Canceled,2015-05-19,6a5e07c1
Canceled,2015-06-19,049c897b
Check-Out,2015-07-06,10e5718c
Check-Out,2015-07-06,467d6de3
Canceled,2015-05-23,0d7403c1
Check-Out,2015-07-07,1d237419
Canceled,2015-05-18,b2a4c089
Check-Out,2015-07-07,60abc79b
Check-Out,2015-07-07,2ddf4d79
Check-Out,2015-07-07,0da2d45f
Check-Out,2015-07-09,c08a3598
Canceled,2015-06-02,cd4f7d16
Check-Out,2015-07-09,4793ad3b
Check-Out,2015-07-09,557a1b4c
Check-Out,2015-07-09,237ab07f
Check-Out,2015-07-09,08b85fc7
Check-Out,2015-07-09,8f1a787e
Check-Out,2015-07-13,9e860227
Check-Out,2015-07-16,408b2ba2
Check-Out,2015-07-03,fb70f437
Check-Out,2015-07-03,e2ba2d15
Check-Out,2015-07-03,2305467d
Check-Out,2015-07-03,70c35ecf
Check-Out,2015-07-03,bd52b005
Check-Out,2015-07-03,dcbe767c
Check-Out,2015-07-04,010e3df0
Check-Out,2015-07-04,632bf978
Check-Out,2015-07-04,526556ef
Check-Out,2015-07-05,6b6158d2
Check-Out,2015-07-05,9c70a184
Canceled,2015-06-29,588c3d6e
Check-Out,2015-07-05,db0edda6
Check-Out,2015-07-05,d37366fb
Check-Out,2015-07-05,bf98a391
Canceled,2015-06-16,a2216db6
Canceled,2015-06-18,f10c35d2
Canceled,2015-07-03,7779f7f3
Canceled,2015-06-12,27c55849
Check-Out,2015-07-05,70cc0c7d
Check-Out,2015-07-05,646a1e05
Canceled,2015-06-09,1b85efb8
Check-Out,2015-07-06,2a503e91
Canceled,2015-05-26,3fd16a08
Check-Out,2015-07-07,25654828
Check-Out,2015-07-07,c67202ed
Check-Out,2015-07-11,ddbd5d04
Check-Out,2015-07-12,5f6d3b79
Canceled,2015-05-19,dd97bc1d
Check-Out,2015-07-13,98cc1bf5
Canceled,2015-06-09,19b34869
Check-Out,2015-07-13,504c9577
Check-Out,2015-07-17,c1eaee54
Check-Out,2015-07-17,87aa9bb6
Canceled,2015-04-15,60441878
Check-Out,2015-07-04,3e23a565
Check-Out,2015-07-04,62427814
Check-Out,2015-07-04,04a2ecbf
Check-Out,2015-07-04,2f8b32f3
Check-Out,2015-07-04,c12d68d5
Check-Out,2015-07-04,274ab2db
Canceled,2015-05-26,472ee08c
Canceled,2015-06-29,528e7c59
Canceled,2015-05-13,fe651950
Check-Out,2015-07-10,1c3b01c9
Check-Out,2015-07-10,ebacce05
Check-Out,2015-07-10,48fc3332
Check-Out,2015-07-07,7850fc1f
Check-Out,2015-07-07,5b157ad3
Check-Out,2015-07-10,0032615c
Check-Out,2015-07-10,dce18b19
Check-Out,2015-07-11,338cb75c
Canceled,2015-06-09,3a4e2a20
Canceled,2015-05-20,f6736ded
Canceled,2015-04-22,ce511d39
Check-Out,2015-07-11,278157ff
Check-Out,2015-07-11,629a3709
Check-Out,2015-07-11,f68f234d
Check-Out,2015-07-11,c793a96d
Check-Out,2015-07-11,cd601f4e
Check-Out,2015-07-12,3be32bde
Canceled,2015-05-12,6ac93fb2
Check-Out,2015-07-12,813b65e6
Check-Out,2015-07-14,9065e4a6
Check-Out,2015-07-14,c9e2d9e4
Check-Out,2015-07-14,01a19a3f
Check-Out,2015-07-05,aaae2cf6
Check-Out,2015-07-05,d360c094
Canceled,2015-05-29,e3019d2e
No-Show,2015-07-04,ee8181f4
Canceled,2015-05-13,49c4413b
Canceled,2015-06-16,fa230347
Check-Out,2015-07-05,6721466e
Check-Out,2015-07-05,06d25c4f
Check-Out,2015-07-06,27da6ca1
Check-Out,2015-07-06,3a37a857
Check-Out,2015-07-06,9f2f49ef
Check-Out,2015-07-06,bcc63a80
Check-Out,2015-07-06,1891126a
Canceled,2015-07-01,01bf8569
Check-Out,2015-07-06,4510280e
Check-Out,2015-07-06,a05bfb71
Check-Out,2015-07-06,1a19cc5f
Check-Out,2015-07-06,0323b427
Check-Out,2015-07-06,d412b73a
Canceled,2015-07-01,dfa41554
Check-Out,2015-07-06,6a9f905d
Check-Out,2015-07-07,9bd0621a
Check-Out,2015-07-07,496a5458
Check-Out,2015-07-09,13606a77
Check-Out,2015-07-10,8bced64a
Check-Out,2015-07-10,c1b1382d
Check-Out,2015-07-10,2d4af4c2
Check-Out,2015-07-11,ff8d7f7c
Check-Out,2015-07-11,97a6a7bb
Canceled,2015-06-17,48f1ebc8
Canceled,2015-05-01,6b2fe923
Check-Out,2015-07-12,6bacd2de
Check-Out,2015-07-12,49f79e25
Canceled,2015-03-30,54c84de5
Check-Out,2015-07-12,1671256a
Check-Out,2015-07-14,f0f0cd91
Check-Out,2015-07-15,d71f201f
Check-Out,2015-07-15,f17c00a5
Check-Out,2015-07-16,cdfd781b
Check-Out,2015-07-19,1e227973
Check-Out,2015-07-19,62d6f2a4
Check-Out,2015-07-11,d62ecc8c
Check-Out,2015-07-10,1b504d69
Check-Out,2015-07-10,d07a7cd7
Check-Out,2015-07-10,615ab0bd
Check-Out,2015-07-10,43d326eb
Check-Out,2015-07-10,0e883243
Check-Out,2015-07-10,d1650a8e
Check-Out,2015-07-06,fa2499bd
Check-Out,2015-07-06,3a68f1c5
Check-Out,2015-07-07,940b6136
Check-Out,2015-07-08,06e41c01
Check-Out,2015-07-08,fd70e51d
Check-Out,2015-07-09,c967afaf
Canceled,2015-06-03,71d4dd48
Check-Out,2015-07-10,c66fbb65
Check-Out,2015-07-10,d6002a54
Check-Out,2015-07-11,b5ac192a
Check-Out,2015-07-11,ef49a803
Check-Out,2015-07-12,e25fa754
Check-Out,2015-07-12,275b6cfc
Check-Out,2015-07-13,018ff60a
Canceled,2015-06-26,b9604544
Check-Out,2015-07-13,254a7db3
Check-Out,2015-07-14,2c55569a
Canceled,2015-05-14,23284e48
Check-Out,2015-07-16,09632730
Check-Out,2015-07-16,51e7d14f
Check-Out,2015-07-16,f368033f
Check-Out,2015-07-16,93fed9b9
Check-Out,2015-07-17,7e2c832d
Check-Out,2015-07-20,5783c069
Check-Out,2015-07-20,a81a8267
Check-Out,2015-07-13,27f86752
